Country Name,Country Code,Year,Year Code,Age dependency ratio (% of working-age population) [SP.POP.DPND],"Age dependency ratio, old [SP.POP.DPND.OL]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Age dependency ratio, young [SP.POP.DPND.YG]",Rural population [SP.RUR.TOTL],"Population, male (% of total population) [SP.POP.TOTL.MA.ZS]",Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Net migration [SM.POP.NETM],"Population, male [SP.POP.TOTL.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Urban population [SP.URB.TOTL],Population growth (annual %) [SP.POP.GROW]
Chile,CHL,1992,YR1992,55.8583820526315,9.923933888163,50.2675642528963,45.9344481644685,2265258,49.7324430027883,1.048,83.564,17,6854273,6928025,13782297,16.436,11517039,1.61172337460706
Chile,CHL,1993,YR1993,55.851750082945,10.3009398944094,50.267952319646,45.5508101885356,2254300,49.7320548240347,1.048,83.896,1196,6961685,7036702,13998386,16.104,11744086,1.55570947046153
Chile,CHL,1994,YR1994,55.7915535376821,10.6574574575452,50.2708316298016,45.1340960801369,2242018,49.7291683701983,1.046,84.223,1931,7066850,7143824,14210674,15.777,11968656,1.50513351154601
Chile,CHL,1995,YR1995,55.6463826521733,10.9818783891921,50.2767119684568,44.6645042629812,2228116,49.7232949678972,1.047,84.545,2490,7168506,7248291,14416796,15.455,12188680,1.44005433972801
Chile,CHL,1996,YR1996,55.395947271533,11.2701452518671,50.2842909810097,44.1258020196659,2212638,49.7157021769311,1.05,84.861,2980,7266190,7349292,14615483,15.139,12402845,1.36875304874354
Chile,CHL,1997,YR1997,55.0523470721604,11.540269213514,50.2925629988043,43.5120778586464,2195921,49.7074437537143,1.05,85.172,3536,7361319,7447971,14809289,14.828,12613368,1.31731727694084
Chile,CHL,1998,YR1998,54.5987661575345,11.7885417014589,50.2993316815079,42.8102244560755,2177977,49.7006683184921,1.046,85.477,4240,7453481,7543261,14996742,14.523,12818765,1.25783584862258
Chile,CHL,1999,YR1999,54.0219540307226,12.0115103334309,50.3055202119605,42.0104436972917,2158389,49.6944797880395,1.046,85.778,4988,7541838,7634572,15176410,14.222,13018021,1.19092710984963
Chile,CHL,2000,YR2000,53.3640278524389,12.2431990524712,50.3142530722295,41.1208287999677,2138045,49.6857404138759,1.045,86.073,5790,7627655,7724143,15351799,13.927,13213754,1.14904172536735
Chile,CHL,2001,YR2001,52.6469696326084,12.4763910128128,50.3247814445498,40.1705786197956,2117005,49.675224997098,1.044,86.363,6720,7711571,7812408,15523978,13.637,13406973,1.11531304820862
